NiO/ZnO,TGS 826,TGS 822,TGS 2600,TGS 2602,ZnO,Cr-doped ZnO,Class
0.99723,1.0,0.66667,0.95652,0.46875,,,Acetone 1 ppm
0.99723,1.0,0.66667,0.95652,0.48387,,,Acetone 1 ppm
0.99723,1.0,0.66667,0.95652,0.5,,,Acetone 1 ppm
0.99723,1.0,0.66667,0.95652,0.51724,,,Acetone 1 ppm
0.99723,1.2,0.66667,0.95652,0.53571,,,Acetone 1 ppm
0.99723,1.2,0.69565,0.95652,0.53571,,,Acetone 1 ppm
0.99723,1.2,0.69565,0.95652,0.53571,,,Acetone 1 ppm
0.99723,1.0,0.69565,0.95652,0.53571,,,Acetone 1 ppm
0.99723,1.0,0.72727,0.95652,0.53571,,,Acetone 1 ppm
0.99723,1.0,0.72727,0.95652,0.55556,,,Acetone 1 ppm
0.99723,1.0,0.72727,0.95652,0.55556,,,Acetone 1 ppm
0.99723,1.2,0.72727,0.95652,0.55556,,,Acetone 1 ppm
0.99723,1.2,0.72727,0.95652,0.55556,,,Acetone 1 ppm
0.99723,1.2,0.72727,0.95652,0.57692,,,Acetone 1 ppm
0.99723,1.2,0.7619,0.95652,0.57692,,,Acetone 1 ppm
0.99723,1.2,0.7619,0.95652,0.6,,,Acetone 1 ppm
1.0,1.2,0.7619,0.95652,0.6,,,Acetone 1 ppm
0.99723,1.2,0.7619,0.95652,0.6,,,Acetone 1 ppm
1.0,1.2,0.7619,0.95652,0.6,,,Acetone 1 ppm
1.0,1.2,0.8,0.95652,0.6,,,Acetone 1 ppm
0.99723,1.2,0.8,0.95652,0.6,,,Acetone 1 ppm
0.99723,1.2,0.8,0.95652,0.625,,,Acetone 1 ppm
0.99723,1.2,0.8,0.95652,0.625,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.625,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.625,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.625,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.625,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.625,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.625,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.65217,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.65217,,,Acetone 1 ppm
0.99723,1.2,0.84211,0.95652,0.65217,,,Acetone 1 ppm
0.99723,1.2,0.88889,0.95652,0.65217,,,Acetone 1 ppm
0.99723,1.2,0.88889,0.95652,0.65217,,,Acetone 1 ppm
0.99723,1.2,0.88889,0.95652,0.65217,,,Acetone 1 ppm
0.99723,1.2,0.88889,0.95652,0.68182,,,Acetone 1 ppm
0.99723,1.2,0.88889,0.95652,0.68182,,,Acetone 1 ppm
1.0,1.2,0.88889,0.95652,0.68182,,,Acetone 1 ppm
1.01985,1.2,0.88889,0.95652,0.68182,,,Acetone 1 ppm
1.0589,1.2,0.94118,0.95652,0.68182,,,Acetone 1 ppm
1.10443,1.2,0.94118,0.95652,0.68182,,,Acetone 1 ppm
1.11738,1.2,0.94118,0.95652,0.68182,,,Acetone 1 ppm
1.15036,1.2,0.94118,0.95652,0.68182,,,Acetone 1 ppm
1.17158,1.2,0.94118,0.95652,0.68182,,,Acetone 1 ppm
1.20028,1.2,0.94118,0.95652,0.55556,,,Acetone 1 ppm
1.22339,1.2,0.94118,0.95652,0.55556,,,Acetone 1 ppm
1.25473,1.2,0.94118,0.95652,0.55556,,,Acetone 1 ppm
1.22765,1.2,0.94118,0.95652,0.55556,,,Acetone 1 ppm
1.22765,1.2,0.94118,0.95652,0.55556,,,Acetone 1 ppm
1.22765,1.2,1.0,0.95652,0.57692,,,Acetone 1 ppm
1.22765,1.2,1.0,0.95652,0.57692,,,Acetone 1 ppm
1.22765,1.2,0.88889,0.95652,0.57692,,,Acetone 1 ppm
1.22765,1.2,0.18182,0.95652,0.57692,,,Acetone 1 ppm
1.22765,1.2,0.1039,0.95652,0.55556,,,Acetone 1 ppm
1.22765,1.2,0.07477,0.95652,0.55556,,,Acetone 1 ppm
1.22765,1.0,0.07339,0.95652,0.55556,,,Acetone 1 ppm
1.22765,1.0,0.07656,0.95652,0.53571,,,Acetone 1 ppm
1.22765,1.0,0.0829,0.95652,0.53571,,,Acetone 1 ppm
1.22765,1.0,0.08791,0.95652,0.51724,,,Acetone 1 ppm
1.22765,0.46154,0.09249,0.95652,0.41667,,,Acetone 1 ppm
1.22765,0.15385,0.09302,0.95652,0.34091,,,Acetone 1 ppm
1.22765,0.05769,0.09412,0.95652,0.23438,,,Acetone 1 ppm
1.27589,0.03727,0.09467,0.95652,0.09868,,,Acetone 1 ppm
1.27589,0.02956,0.09524,0.95652,0.05747,,,Acetone 1 ppm
1.27589,0.0262,0.09639,0.95652,0.04823,,,Acetone 1 ppm
1.27589,0.0249,0.09816,0.95652,0.04451,,,Acetone 1 ppm
1.27589,0.02344,0.10063,0.95652,0.04298,,,Acetone 1 ppm
1.27589,0.02166,0.10323,0.95652,0.04202,,,Acetone 1 ppm
1.30375,0.02007,0.11268,0.95652,0.04155,,,Acetone 1 ppm
1.27823,0.01935,0.12698,0.95652,0.04132,,,Acetone 1 ppm
1.25369,0.01911,0.14159,0.95652,0.04132,,,Acetone 1 ppm
1.23008,0.01929,0.15094,0.95652,0.0419,,,Acetone 1 ppm
1.20733,0.02048,0.15238,0.95652,0.04249,,,Acetone 1 ppm
1.17085,0.02479,0.15842,0.95652,0.04323,,,Acetone 1 ppm
1.14388,0.03261,0.16162,0.95652,0.04386,,,Acetone 1 ppm
1.12419,0.04478,0.16495,0.95652,0.04451,,,Acetone 1 ppm
1.10517,0.05882,0.16495,0.95652,0.04518,,,Acetone 1 ppm
1.08677,0.06593,0.16842,0.95652,0.04545,,,Acetone 1 ppm
1.05712,0.06667,0.17204,0.95652,0.04518,,,Acetone 1 ppm
